chan_no,length,manning,dispersion,upnode,downnode
1,19500,0.035,360,1,2
2,14000,0.028,360,2,3
3,13000,0.028,360,3,4
4,14050,0.028,360,4,5
5,12350,0.028,360,5,6
6,9878,0.028,360,6,7
7,8796,0.028,360,7,8
8,11625,0.03,360,8,9
9,10497,0.03,360,9,10
10,9400,0.03,360,10,11
11,12748,0.03,360,11,12
12,8214,0.03,360,12,13
13,7706,0.03,360,13,14
14,5339,0.03,360,14,15
15,5388,0.03,360,15,16
16,5384,0.022,360,16,18
17,13150,0.035,360,17,1
18,3765,0.022,360,18,19
19,3666,0.022,360,19,20
20,4107,0.022,360,20,21
21,5947,0.022,360,21,22
22,6803,0.022,360,22,23
23,3425,0.022,360,23,24
24,7742,0.022,360,24,25
25,3317,0.022,360,25,26
26,4000,0.022,360,26,27
27,4700,0.022,360,28,26
28,5000,0.022,360,27,29
29,3800,0.022,360,29,28
30,7358,0.022,360,26,29
31,6525,0.022,360,29,30
32,6098,0.022,360,30,31
33,2397,0.022,360,31,32
34,5988,0.022,360,30,32
35,7239,0.022,360,31,33
36,5532,0.022,360,32,33
37,5291,0.022,360,33,34
38,4791,0.022,360,34,35
39,4316,0.022,360,35,36
40,5753,0.022,360,36,37
41,6359,0.022,360,35,37
42,8762,0.022,360,37,38
43,2492,0.022,360,38,39
44,3619,0.022,360,39,40
45,12421,0.026,840,40,41
46,11780,0.026,840,41,42
47,14248,0.026,840,42,43
48,9015,0.026,60,43,44
49,12948,0.028,60,469,45
50,9721,0.026,60,45,461
51,11539,0.026,60,461,46
52,8783,0.026,60,46,47
53,11276,0.026,60,47,464
54,3787,0.03,360,8,48
55,4762,0.03,360,48,49
56,4214,0.03,360,49,50
57,4378,0.03,360,50,51
58,4975,0.03,360,51,52
59,4762,0.03,360,52,53
60,5875,0.03,360,53,54
61,6003,0.03,360,54,55
62,4600,0.03,360,55,56
63,3010,0.03,360,56,57
65,3161,0.03,360,169,56
66,2075,0.03,360,169,57
67,2887,0.03,360,57,58
68,3769,0.03,360,58,59
69,7403,0.03,360,57,59
70,3985,0.03,360,59,60
71,6019,0.03,360,60,61
72,4513,0.03,360,61,62
73,4142,0.03,360,62,63
74,3904,0.03,360,63,64
75,4282,0.03,360,64,65
76,4686,0.03,360,65,66
77,7316,0.03,360,66,67
78,3185,0.03,360,67,68
79,3457,0.03,360,68,69
80,5447,0.03,360,69,70
81,3857,0.027,360,70,71
82,2609,0.027,360,71,72
83,5450,0.028,60,44,469
84,3377,0.027,360,73,74
85,3377,0.027,360,74,75
86,5022,0.027,360,75,77
88,4754,0.027,720,77,78
89,4544,0.027,720,78,79
90,3722,0.027,720,79,80
91,4119,0.027,720,80,81
92,6169,0.027,720,81,82
94,4034,0.025,720,82,84
95,3850,0.025,720,84,85
96,3741,0.025,720,85,86
97,3249,0.02,720,86,88
101,3950,0.02,720,88,89
102,3927,0.02,720,89,90
104,3645,0.02,720,90,91
105,2947,0.02,720,91,92
106,3819,0.02,720,92,93
107,4183,0.025,720,93,94
108,7064,0.025,720,93,94
111,4050,0.025,720,94,97
114,3991,0.025,720,98,97
115,3340,0.025,720,97,99
116,3298,0.025,720,98,99
117,8901,0.025,720,99,102
118,12030,0.025,720,100,99
119,12785,0.025,720,100,101
120,5677,0.025,720,101,102
121,4792,0.025,720,102,232
122,6142,0.025,720,232,103
123,7396,0.025,720,101,103
124,7062,0.025,720,103,38
125,4937,0.03,360,52,104
126,8246,0.03,360,104,105
127,5267,0.03,360,105,106
128,8409,0.03,360,106,107
129,5691,0.03,360,107,108
130,7026,0.03,360,108,109
131,5640,0.03,360,109,110
132,5447,0.03,360,110,111
133,6823,0.03,360,111,112
134,7627,0.03,360,112,113
135,4427,0.033,360,113,114
136,2266,0.033,360,114,115
137,3983,0.033,360,115,116
138,7131,0.033,360,116,117
139,2294,0.033,360,117,118
140,6283,0.033,360,118,120
141,3789,0.033,360,118,119
142,5345,0.033,360,119,120
143,3379,0.033,360,120,121
144,2708,0.033,360,121,122
145,2818,0.033,360,123,121
146,3053,0.033,360,122,123
147,3804,0.033,360,123,124
148,4423,0.033,360,122,124
149,4373,0.033,360,124,125
150,4354,0.033,360,125,126
151,4217,0.033,360,126,127
152,3731,0.033,360,127,128
153,3312,0.033,360,128,129
154,3980,0.033,360,129,130
155,2616,0.045,360,130,131
156,2593,0.045,360,130,132
157,2775,0.045,360,131,132
158,2088,0.045,360,131,132
159,4306,0.045,360,132,133
160,6956,0.045,360,133,31
161,10808,0.045,360,133,134
162,4261,0.045,360,134,34
163,5058,0.045,360,134,35
164,3332,0.033,360,144,135
165,3743,0.033,360,135,136
166,3265,0.033,360,136,137
167,3407,0.033,360,137,130
168,6624,0.033,360,136,130
169,8000,0.022,360,16,138
170,6800,0.022,360,138,139
171,5300,0.022,360,139,21
172,4805,0.045,360,140,26
173,5701,0.045,360,141,140
174,4494,0.045,360,142,141
175,4956,0.045,360,143,142
176,4247,0.045,360,144,143
177,4363,0.045,360,145,144
178,5621,0.033,360,124,145
179,3066,0.033,360,125,145
180,9770,0.045,360,146,147
181,7072,0.045,360,147,148
182,4286,0.045,360,148,142
183,4506,0.03,360,149,58
184,8869,0.03,360,150,149
185,4600,0.03,360,151,152
186,4600,0.03,360,152,153
187,3200,0.03,360,153,154
188,2641,0.03,360,154,155
189,2562,0.03,360,155,156
190,2315,0.03,360,156,157
191,3596,0.03,360,157,158
192,1709,0.03,360,158,159
193,1508,0.03,360,159,160
194,1946,0.03,360,160,149
195,3045,0.03,360,5,162
196,8526,0.03,360,162,163
197,7205,0.03,360,163,164
198,7231,0.03,360,164,165
199,6662,0.03,360,165,54
201,7630,0.03,360,166,167
202,7019,0.03,360,167,168
203,6789,0.03,360,168,169
204,7297,0.03,360,170,171
205,4630,0.03,360,56,171
206,5533,0.03,360,171,172
207,2534,0.03,360,172,173
208,4235,0.03,360,173,174
209,3553,0.03,360,174,175
210,3636,0.03,360,175,176
211,4032,0.03,360,176,177
212,6906,0.03,360,177,178
213,4893,0.03,360,178,71
214,4500,0.027,360,179,70
215,12951,0.027,900,223,76
216,8000,0.027,360,181,179
